id;pembuat;pasir;batu;air
1;unta;2;5;3
10;yolse;1;4;0
11;ifrit;2;5;3
12;unta;2;1;5
13;yolse;3;4;2
14;ifrit;4;1;1
15;unta;5;4;2
16;yolse;1;4;2
17;ifrit;3;4;0
18;unta;3;0;0
19;yolse;4;3;3
21;unta;0;3;1
22;yolse;3;4;2
23;ifrit;4;5;3
24;unta;4;3;5
25;ifrit;3;0;2
26;ifrit;2;1;5
27;ifrit;1;0;2
28;ifrit;2;5;5
29;ifrit;5;0;2
30;ifrit;3;0;2
31;ifrit;5;0;0
32;ifrit;1;2;2
35;ifrit;4;1;1
36;unta;4;5;3
37;yolse;5;0;2
38;ifrit;0;5;5
28;unta;4;3;1
29;unta;1;4;4
30;unta;2;3;5
31;unta;0;1;3
32;unta;5;4;0
33;unta;0;5;3
34;unta;3;0;2
35;unta;0;5;1
36;yolse;0;5;5
37;ifrit;0;5;5
38;unta;0;5;5
